uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Parke1966,"Parke, Melissa",ALP,652,36,2008,2016,5.521472392638037
Lieberman1938,"Lieberman, Lou",LIBERAL,206,35,1998,2001,16.990291262135923
Broad1975,"Broad, Andrew",NATIONAL,441,35,2013,2019,7.936507936507937
Filing1955,"Filing, Paul",IND,92,35,1998,1998,38.04347826086956
Littleproud1976,"Littleproud, David",LNP,372,35,2019,2022,9.408602150537634
Wilton1955,"Wilton, Greg",ALP,113,35,1998,2000,30.97345132743363
Vale1944,"Vale, Danna",LIBERAL,680,34,1998,2010,5.0
Brown1933,"Brown, Bob, MP",ALP,81,34,1998,2003,41.97530864197531
Stanley1961,"Stanley, Anne",ALP,265,33,2016,2022,12.452830188679245
Theophanous1946,"Theophanous, Andrew",IND,144,32,2001,2001,22.22222222222222
Haines1961,"Haines, Helen",IND,303,31,2019,2022,10.231023102310232
Morton1981,"Morton, Ben",LIBERAL,339,31,2016,2022,9.144542772861357
Flint1978,"Flint, Nicolle",LIBERAL,478,31,2016,2022,6.485355648535565
Grierson1951,"Grierson, Sharon",ALP,579,31,2002,2013,5.354058721934369
Zimmerman1968,"Zimmerman, Trent",LIBERAL,317,30,2016,2022,9.46372239747634
DAth1970,"D'Ath, Yvette",ALP,355,30,2008,2013,8.450704225352112
Slipper1950,"Slipper, Peter",IND,162,30,2009,2013,18.51851851851852
Zammit1941,"Zammit, Paul",IND,95,29,1998,1998,30.526315789473685
Fahey1945,"Fahey, John",LIBERAL,458,29,1998,2001,6.331877729257642
Morris1940,"Morris, Allan",ALP,209,28,1998,2001,13.397129186602871
Organ1956,"Organ, Michael",GREENS,269,28,2003,2004,10.408921933085502
Wilson1966,"Wilson, Rick",LIBERAL,496,28,2013,2022,5.645161290322581
Turnour1966,"Turnour, James",ALP,187,27,2008,2010,14.438502673796792
Keay1975,"Keay, Justine",ALP,210,27,2016,2019,12.857142857142858
Wyatt1952,"Wyatt, Ken",LIBERAL,617,27,2010,2022,4.376012965964343
Nehl1934,"Nehl, Garry",NATIONAL,210,27,1998,2001,12.857142857142858
Coker1962,"Coker, Libby",ALP,193,26,2019,2022,13.471502590673575
Coleman1974,"Coleman, David",LIBERAL,642,26,2013,2022,4.049844236760125
