uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
DAth1970,"D'Ath, Yvette",ALP,291,37,2008,2013,12.714776632302405
Wood1968,"Wood, Jason",LIB,577,37,2004,2025,6.412478336221837
George1947,"George, Jennie",ALP,320,37,2002,2010,11.5625
Pearce1963,"Pearce, Chris",LIB,285,37,2001,2010,12.982456140350877
Wilson1972,"Wilson, Josh",ALP,451,37,2016,2025,8.203991130820398
Vamvakinou1959,"Vamvakinou, Maria",ALP,673,36,2002,2025,5.349182763744428
Mirabella1968,"Mirabella, Sophie",LIB,243,36,2006,2013,14.814814814814815
Wilkie1959,"Wilkie, Kim",ALP,264,35,1998,2007,13.257575757575758
Simmonds1985,"Simmonds, Julian",LIB,295,35,2019,2022,11.864406779661017
Hawker1949,"Hawker, David",LIB,241,35,1998,2010,14.522821576763485
Murphy1973,"Murphy, Peta",ALP,342,35,2019,2023,10.23391812865497
Kernot1948,"Kernot, Cheryl",ALP,132,35,1998,2001,26.515151515151516
Thompson1988,"Thompson, Phillip",LIB,297,34,2019,2025,11.447811447811448
Templeman1963,"Templeman, Susan",ALP,881,34,2016,2025,3.859250851305335
Crosio1939,"Crosio, Janice",ALP,255,33,1998,2004,12.941176470588236
Thomson1964,"Thomson, Craig",ALP,250,33,2008,2012,13.2
OByrne1968,"O'Byrne, Michelle",ALP,200,33,1998,2004,16.5
Turnour1966,"Turnour, James",ALP,124,33,2008,2010,26.612903225806452
ONeill1961,"O'Neill, Deborah",ALP,265,33,2010,2013,12.452830188679245
Moylan1944,"Moylan, Judi",LIB,520,32,1998,2013,6.153846153846154
Wakelin1946,"Wakelin, Barry",LIB,276,32,1998,2007,11.594202898550725
Williams1973,"Williams, Matt",LIB,204,32,2013,2016,15.686274509803921
McIntosh1977,"McIntosh, Melissa",LIB,388,31,2019,2025,7.989690721649485
Flint1978,"Flint, Nicolle",LIB,423,31,2016,2022,7.328605200945627
Wells1985,"Wells, Anika",ALP,276,31,2019,2025,11.231884057971014
Causley1940,"Causley, Ian (The DEPUTY SPEAKER)",NP,166,30,2000,2007,18.072289156626507
Khalil1973,"Khalil, Peter",ALP,438,30,2016,2025,6.8493150684931505
Wicks1973,"Wicks, Lucy",LIB,657,30,2013,2022,4.566210045662101
Stevens1983,"Stevens, James",LIB,512,30,2019,2025,5.859375
Whiteley1960,"Whiteley, Brett",LIB,167,30,2013,2016,17.964071856287426
Webster1959,"Webster, Anne",NP,417,30,2019,2025,7.194244604316546
Jensen1962,"Jensen, Dennis",LIB,483,29,2004,2016,6.004140786749482
Forrest1949,"Forrest, John (Alexander)",NP,297,29,1998,2013,9.764309764309765
Worth1946,"Worth, Trish",LIB,265,29,1998,2004,10.943396226415095
Gibbons1949,"Gibbons, Steve",ALP,281,29,1998,2013,10.320284697508896
Wilson1966,"Wilson, Rick",LIB,511,29,2013,2025,5.675146771037182
StClair1949,"St Clair, Stuart",NP,169,28,1998,2001,16.568047337278106
Draper1959,"Draper, Trish",LIB,309,28,1998,2007,9.06148867313916
Stanley1961,"Stanley, Anne",ALP,465,28,2016,2025,6.021505376344086
Sawford1944,"Sawford, Rod",ALP,193,28,1998,2007,14.507772020725389
Georgiou1947,"Georgiou, Petro",LIB,233,28,1998,2010,12.017167381974248
Gallus1943,"Gallus, Chris",LIB,137,28,1998,2004,20.437956204379564
May1950,"May, Margaret",LIB,394,27,1998,2010,6.852791878172589
Schultz1939,"Schultz, Alby",LIB,314,27,1998,2013,8.598726114649681
Lawrence1948,"Lawrence, Carmen",ALP,149,27,1998,2007,18.120805369127517
McNamara1964,"McNamara, Karen",LIB,273,27,2013,2016,9.89010989010989
Sudmalis1955,"Sudmalis, Ann",LIB,334,27,2013,2019,8.083832335329342
Cheeseman1976,"Cheeseman, Darren",ALP,269,27,2008,2013,10.037174721189592
Kearney1963,"Kearney, Ged",ALP,348,26,2018,2025,7.471264367816092
Charles1936,"Charles, Bob",LIB,220,26,1998,2004,11.818181818181818
Landry1962,"Landry, Michelle",NP,523,26,2013,2025,4.97131931166348
Slipper1950,"Slipper, Peter (The SPEAKER)",IND,110,26,2011,2012,23.636363636363637
Scott1977,"Scott, Fiona",LIB,202,26,2013,2016,12.871287128712872
Mossfield1935,"Mossfield, Frank",ALP,299,26,1998,2004,8.695652173913043
Parke1966,"Parke, Melissa",ALP,579,26,2008,2016,4.490500863557858
Morris1940,"Morris, Allan",ALP,111,26,1998,2001,23.423423423423422
Steggall1974,"Steggall, Zali",IND,561,26,2019,2025,4.634581105169341
Ellis1946,"Ellis, Annette",ALP,377,26,1998,2010,6.896551724137931
Hutchinson1965,"Hutchinson, Eric",LIB,269,26,2013,2016,9.66542750929368
Ronaldson1954,"Ronaldson, Michael",LIB,94,25,1998,2001,26.595744680851062
Hollis1938,"Hollis, Colin",ALP,150,25,1998,2001,16.666666666666668
Hale1969,"Hale, Damian",ALP,152,25,2008,2010,16.44736842105263
Sciacca1947,"Sciacca, Con",ALP,106,25,1998,2004,23.58490566037736
Washer1945,"Washer, Mal",LIB,247,25,1998,2013,10.121457489878543
King1952,"King, Peter",LIB,165,25,2002,2004,15.151515151515152
Edwards1946,"Edwards, Graham",ALP,237,25,1998,2007,10.548523206751055
Hoare1963,"Hoare, Kelly",ALP,222,24,1998,2007,10.81081081081081
Kelly1960,"Kelly, Mike",ALP,366,24,2008,2020,6.557377049180328
Moore1936,"Moore, John",LIB,73,24,1998,2000,32.87671232876713
Thwaites1980,"Thwaites, Kate",ALP,299,24,2019,2025,8.02675585284281
Drum1960,"Drum, Kevin",NP,374,24,2016,2023,6.4171122994652405
Morton1981,"Morton, Ben",LIB,256,23,2016,2022,8.984375
Hammond1975,"Hammond, Tim",ALP,107,23,2016,2018,21.49532710280374
Alexander1951,"Alexander, John",LIB,676,23,2010,2022,3.4023668639053253
Grierson1951,"Grierson, Sharon",ALP,416,23,2002,2013,5.528846153846154
Symon1965,"Symon, Mike",ALP,312,23,2008,2013,7.371794871794871
Roy1990,"Roy, Wyatt",LIB,222,23,2010,2016,10.36036036036036
Evans1944,"Evans, Gareth",ALP,75,23,1998,1999,30.666666666666668
Gray1958,"Gray, Gary",ALP,436,23,2008,2016,5.275229357798165
OKeefe1947,"O'Keefe, Neil",ALP,85,22,1998,2001,25.88235294117647
Nehl1934,"Nehl, Garry",NP,129,22,1998,2001,17.05426356589147
Pearce1967,"Pearce, Gavin",LIB,277,21,2019,2025,7.581227436823105
Elson1947,"Elson, Kay",LIB,259,21,1998,2007,8.108108108108109
Mirabella1968,"Panopoulos, Sophie",LIB,128,21,2002,2006,16.40625
Tollner1966,"Tollner, Dave",CLP,185,21,2002,2007,11.35135135135135
Haines1961,"Haines, Helen",IND,540,21,2019,2025,3.888888888888889
Sercombe1949,"Sercombe, Bob",ALP,153,21,1998,2007,13.72549019607843
McBride1975,"McBride, Emma",ALP,353,20,2016,2025,5.665722379603399
Somlyay1946,"Somlyay, Alex",LIB,224,20,1998,2013,8.928571428571429
Smyth1976,"Smyth, Laura",ALP,178,20,2010,2013,11.235955056179776
Lieberman1938,"Lieberman, Lou",LIB,119,20,1998,2001,16.80672268907563
Smith1954,"Smith, Warwick",LIB,60,20,1998,1998,33.333333333333336
Scott1943,"Scott, Bruce (The DEPUTY SPEAKER)",NP,212,20,2002,2016,9.433962264150944
Evans1981,"Evans, Trevor",LIB,358,20,2016,2022,5.58659217877095
Raguse1960,"Raguse, Brett",ALP,148,20,2008,2010,13.513513513513514
Vasta1966,"Vasta, Ross",LIB,556,20,2004,2025,3.597122302158273
Sullivan1950,"Sullivan, Jon",ALP,111,19,2008,2010,17.117117117117118
Ferguson1974,"Ferguson, Michael",LIB,125,19,2004,2007,15.2
Theophanous1946,"Theophanous, Andrew",IND,96,19,2000,2001,19.791666666666668
Husar1980,"Husar, Emma",ALP,183,18,2016,2019,9.836065573770492
Farmer1962,"Farmer, Pat",LIB,165,18,2002,2010,10.909090909090908
Ticehurst1945,"Ticehurst, Ken",LIB,185,18,2002,2007,9.72972972972973
OBrien1972,"O'Brien, Llew",NP,315,17,2016,2025,5.396825396825397
Hendy1962,"Hendy, Peter",LIB,186,17,2013,2016,9.13978494623656
EvansMartyn1953,"Evans, Martyn",ALP,98,17,1998,2004,17.346938775510203
Feeney1970,"Feeney, David",ALP,136,16,2013,2017,11.764705882352942
Markus1958,"Markus, Louise",LIB,435,16,2004,2016,3.67816091954023
Organ1956,"Organ, Michael",GRN,180,16,2003,2004,8.88888888888889
Smith1970,"Smith, David",ALP,294,16,2019,2025,5.442176870748299
Phillips1970,"Phillips, Fiona",ALP,387,16,2019,2025,4.134366925064599
Allen1966,"Allen, Katie",LIB,390,16,2019,2022,4.102564102564102
Thomson1961,"Thomson, Andrew",LIB,121,16,1998,2001,13.223140495867769
Banks1962,"Banks, Julia",LIB,154,15,2016,2018,9.74025974025974
Quick1941,"Quick, Harry",ALP,205,15,1998,2007,7.317073170731708
